SETID,SPL_VERSION,ingredients_names,ingredients_rxcuis,condition_name,pt_meddra_id,pt_meddra_term,file,title
03819118-86f6-4329-adaf-4599e7b71f46,29,buprenorphine,1819,acute liver injury,10019717,hepatitis,../data/2024_latest_labels/latest_labels_ingredients/20240217_03819118-86f6-4329-adaf-4599e7b71f46.json,"These highlights do not include all the information needed to use
 
BUPRENORPHINE SUBLINGUAL TABLETS safely and effectively. See full prescribing information for BUPRENORPHINE
 
SUBLINGUAL TABLETS.

       

BUPRENORPHINE 
s
ublingual 
t
ablets, CIII

Initial U.S. Approval: 1981"
03cdbf5b-b572-448f-80e9-b3e812959901,2,estropipate,33747,acute liver injury,10023126,jaundice,../data/2024_latest_labels/latest_labels_ingredients/20120328_03cdbf5b-b572-448f-80e9-b3e812959901.json,DESCRIPTION
0becbde8-6ec5-4830-a0d9-cfdb7b15eb84,11,minocycline,6980,acute kidney injury,10069339,acute kidney injury,../data/2024_latest_labels/latest_labels_ingredients/20240217_0becbde8-6ec5-4830-a0d9-cfdb7b15eb84.json,"Minocycline Hydrochloride Capsules, USP
 

Rx only"
0e98593a-8424-48c8-acc0-671f4b566aee,9,carvedilol,20352,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/latest_labels_ingredients/20240224_0e98593a-8424-48c8-acc0-671f4b566aee.json,"These highlights do not include all the information needed to use CARVEDILOL TABLETS safely and effectively. See full prescribing information for CARVEDILOL TABLETS.
 

CARVEDILOL tablets, for oral use
 
Initial U.S. Approval: 1995"
11344047-7ed4-61e7-e063-6394a90a332d,1,lansoprazole,17128,gi bleed,10018830,haematemesis,../data/2024_latest_labels/latest_labels_ingredients/20240214_11344047-7ed4-61e7-e063-6394a90a332d.json,"These highlights do not include all the information needed to use 
 LANSOPRAZOLE DELAYED-RELEASE CAPSULESsafely and effectively. See full prescribing information for 
 LANSOPRAZOLE DELAYED-RELEASE CAPSULES.
 

LANSOPRAZOLE delayed-release capsules, for oral use
  
Initial U.S. Approval: 1995"
17a8d11b-73b0-4833-a0b4-cf1ef85edefb,29,aripiprazole lauroxil,1673265,acute liver injury,10019717,hepatitis,../data/2024_latest_labels/latest_labels_ingredients/20231205_17a8d11b-73b0-4833-a0b4-cf1ef85edefb.json,"These highlights do not include all the information needed to use ARISTADA® safely and effectively. See full prescribing information for ARISTADA®.
ARISTADA® (aripiprazole lauroxil) extended-release injectable suspension, for intramuscular useInitial U.S. Approval: 2015"
1c90aa68-cc12-41ef-aebc-2616ae45683a,11,candesartan,214354,acute myocardial infarction,10002383,angina pectoris,../data/2024_latest_labels/latest_labels_ingredients/20240221_1c90aa68-cc12-41ef-aebc-2616ae45683a.json,"These highlights do not include all the information needed to use 

candesartan cilexetil 

 safely and effectively.  See full prescribing information for 

candesartan cilexetil 

.

Candesartan cilexetil tablets, for oral use
Initial U.S. Approval: 1998"
235dfc38-0f0b-4037-b501-7a9f4294740c,16,encorafenib,2049106,acute kidney injury,10069339,acute kidney injury,../data/2024_latest_labels/latest_labels_ingredients/20231019_235dfc38-0f0b-4037-b501-7a9f4294740c.json,"These highlights do not include all the information needed to use BRAFTOVI safely and effectively. See full prescribing information for BRAFTOVI.
BRAFTOVI® (encorafenib) capsules, for oral useInitial U.S. Approval: 2018"
23f3c1f4-0fc8-4804-a9e3-04cf25dd302e,26,trastuzumab,224905,gi bleed,10030172,oesophageal haemorrhage,../data/2024_latest_labels/gold_xml/20230902_23f3c1f4-0fc8-4804-a9e3-04cf25dd302e.json,"These highlights do not include all the information needed to use KADCYLA safely and effectively.  See full prescribing information for KADCYLA. 
KADCYLA® (ado-trastuzumab emtansine) for injection, for intravenous use Initial U.S. Approval:  2013"
246e0ed0-f8ca-483b-a1ce-91052f3f35f0,9,enalapril,3827,acute liver injury,10019717,hepatitis,../data/2024_latest_labels/latest_labels_ingredients/20240224_246e0ed0-f8ca-483b-a1ce-91052f3f35f0.json,"Enalapril Maleate Tablets, USP"
304a3059-4f7f-4ec4-839d-86492bb5e07b,6,memantine,6719,acute myocardial infarction,10002383,angina pectoris,../data/2024_latest_labels/latest_labels_ingredients/20240221_304a3059-4f7f-4ec4-839d-86492bb5e07b.json,"These highlights do not include all the information needed to use MEMANTINE HYDROCHLORIDE TABLETS safely and effectively. See full prescribing information for MEMANTINE HYDROCHLORIDE TABLETS.
 
MEMANTINE HYDROCHLORIDE tablets, for oral use
 
Initial U.S. Approval: 2003"
35d0074e-212b-4a1f-9cd7-974ca08d2c95,21,ropinirole,72302,acute myocardial infarction,10002388,angina unstable,../data/2024_latest_labels/latest_labels_ingredients/20240206_35d0074e-212b-4a1f-9cd7-974ca08d2c95.json,"These highlights do not include all the information needed to use ROPINIROLE TABLETS safely and effectively. See full prescribing information for ROPINIROLE TABLETS.
ROPINIROLE tablets, for oral use Initial U.S. Approval: 1997"
35d0074e-212b-4a1f-9cd7-974ca08d2c95,21,ropinirole,72302,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/latest_labels_ingredients/20240206_35d0074e-212b-4a1f-9cd7-974ca08d2c95.json,"These highlights do not include all the information needed to use ROPINIROLE TABLETS safely and effectively. See full prescribing information for ROPINIROLE TABLETS.
ROPINIROLE tablets, for oral use Initial U.S. Approval: 1997"
37241e87-4af4-4dc3-a1aa-ea6f20d8dc40,45,mycophenolate mofetil,68149,acute liver injury,10023126,jaundice,../data/2024_latest_labels/latest_labels_ingredients/20240224_37241e87-4af4-4dc3-a1aa-ea6f20d8dc40.json,"These highlights do not include all the information needed to use CELLCEPT® safely and effectively. See full prescribing information for CELLCEPT® 
CELLCEPT® (mycophenolate mofetil) capsules, for oral use CELLCEPT® (mycophenolate mofetil) tablets, for oral use CELLCEPT®  Oral Suspension (mycophenolate mofetil), for oral suspension CELLCEPT®  Intravenous (mycophenolate mofetil) for injection, for intravenous use Initial U.S. Approval: 1995"
39d53698-57fa-7c99-fc5b-f52a55684826,26,bendamustine,134547,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/train_xml/20221029_39d53698-57fa-7c99-fc5b-f52a55684826.json,"These highlights do not include all the information needed to use TREANDA safely and effectively. See full prescribing information for TREANDA.
TREANDA® (bendamustine hydrochloride) injection, for intravenous useTREANDA® (bendamustine hydrochloride) for injection, for intravenous useInitial U.S. Approval: 2008"
3bc8668e-8ec3-4c54-b46b-5ca0dac87c1b,13,micafungin,325887,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/latest_labels_ingredients/20231201_3bc8668e-8ec3-4c54-b46b-5ca0dac87c1b.json,"These highlights do not include all the information needed to use MICAFUNGIN FOR INJECTION safely and effectively. See full prescribing information for MICAFUNGIN FOR INJECTION.
 MICAFUNGIN for Injection, for intravenous infusion only Initial U.S. Approval: 2005"
3c52dddd-0457-41cd-99e0-d30d4fd00ec5,4,maraviroc,620216,acute myocardial infarction,10002388,angina unstable,../data/2024_latest_labels/latest_labels_ingredients/20231111_3c52dddd-0457-41cd-99e0-d30d4fd00ec5.json,"These highlights do not include all the information needed to use SELZENTRY safely and effectively. See full prescribing information for SELZENTRY.
SELZENTRY (maraviroc) tablets, for oral useSELZENTRY (maraviroc) oral solutionInitial U.S. Approval: 2007"
3d30eb8d-a62e-475f-926b-78ba63bee9c8,11,isoflurane,6026,acute kidney injury,10069339,acute kidney injury,../data/2024_latest_labels/latest_labels_ingredients/20240130_3d30eb8d-a62e-475f-926b-78ba63bee9c8.json,"FORANE (isoflurane, USP) liquid for inhalation"
413c645e-074d-4276-b39a-d83521077602,14,abiraterone,1100072,acute myocardial infarction,10002383,angina pectoris,../data/2024_latest_labels/latest_labels_ingredients/20240217_413c645e-074d-4276-b39a-d83521077602.json,"These highlights do not include all the information needed to use ABIRATERONE ACETATE TABLETS safely and effectively. See full prescribing information for ABIRATERONE ACETATE TABLETS.
  

ABIRATERONE ACETATE tablets,
 
for oral use 

Initial U.S. Approval: 2011"
4238a064-1bfd-4ce3-b9d9-12c96eee8af0,2,olmesartan,321064,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/latest_labels_ingredients/20240217_4238a064-1bfd-4ce3-b9d9-12c96eee8af0.json,"These highlights do not include all the information needed to use OLMESARTAN MEDOXOMIL TABLETS safely and effectively. See full prescribing information for OLMESARTAN MEDOXOMIL TABLETS.  OLMESARTAN MEDOXOMIL tablets, for oral use   Initial U.S. Approval: 2002"
4260d746-bb58-4e10-9ffe-fc414f22b591,11,gemfibrozil,4719,acute liver injury,10023126,jaundice,../data/2024_latest_labels/latest_labels_ingredients/20240223_4260d746-bb58-4e10-9ffe-fc414f22b591.json,"Gemfibrozil Tablets, USP 600 mg"
4314da8a-40e5-4aba-a32b-57b4166ade30,12,azithromycin,18631,acute liver injury,10023126,jaundice,../data/2024_latest_labels/latest_labels_ingredients/20240224_4314da8a-40e5-4aba-a32b-57b4166ade30.json,"These highlights do not include all the information needed to use AZITHROMYCIN TABLETS safely and effectively. See full prescribing information for AZITHROMYCIN TABLETS.  AZITHROMYCIN tablets, for oral use Initial U.S. Approval: 1991"
44492772-5aed-4627-bd85-e8e89f308bb3,12,siponimod,2121085,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/latest_labels_ingredients/20230817_44492772-5aed-4627-bd85-e8e89f308bb3.json,"These highlights do not include all the information needed to use MAYZENT safely and effectively. See full prescribing information for MAYZENT.


MAYZENT® (siponimod) tablets, for oral use

Initial U.S. Approval: 2019"
44dcbf97-99ec-427c-ba50-207e0069d6d2,9,pitavastatin,861634,acute liver injury,10019717,hepatitis,../data/2024_latest_labels/gold_xml/20240203_44dcbf97-99ec-427c-ba50-207e0069d6d2.json,"These highlights do not include all the information needed to use LIVALO® safely and effectively.  See full prescribing information for LIVALO.
 LIVALO (pitavastatin) tablets, for oral use Initial U.S. Approval: 2009"
4650d12c-b9c8-4525-b07f-a2d773eca155,26,teriflunomide,1310520,acute myocardial infarction,10028596,myocardial infarction,../data/2024_latest_labels/gold_xml/20240110_4650d12c-b9c8-4525-b07f-a2d773eca155.json,"These highlights do not include all the information needed to use AUBAGIO® safely and effectively. See full prescribing information for AUBAGIO. 
AUBAGIO (teriflunomide) tablets, for oral use Initial U.S. Approval: 2012"
4911f343-68e6-71b0-e054-00144ff8d46c,5,meloxicam,41493,acute liver injury,10019717,hepatitis,../data/2024_latest_labels/latest_labels_ingredients/20240223_4911f343-68e6-71b0-e054-00144ff8d46c.json,"These highlights do not include all the information needed to use MELOXICAM TABLETS safely and effectively. See full prescribing information for MELOXICAM TABLETS.
 

Initial U.S. Approval: 2000"
