file,set_id,spl_version,title,ingredient_rx_cui,ingredient_name,pt_meddra_id,pt_meddra_term,cohort_id,condition_name,positive_controls,label,cohort_id_right,drug_concept_id,affect,reference
./data/2024_latest_labels/latest_labels_ingredients/20240206_f47d4365-40a8-445b-99cd-49edad6a8ffc.json,f47d4365-40a8-445b-99cd-49edad6a8ffc,15,"Ketorolac Tromethamine Tablets USP, 10 mg 
 




Rx only",35827,ketorolac,10069339,acute kidney injury,500000401,acute kidney injury,6,1,500000401,1136980,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240224_84428af5-ab7d-4822-a40e-3cf6e3fb9fee.json,84428af5-ab7d-4822-a40e-3cf6e3fb9fee,9,"Hydrochlorothiazide Capsules USP, 12.5 mg",5487,hydrochlorothiazide,10038435,renal failure,500000401,acute kidney injury,20,1,500000401,974166,1,1
./data/2024_latest_labels/latest_labels_ingredients/20240224_0a2a1310-0a57-4fb0-a2e6-6fdb21cda9c7.json,0a2a1310-0a57-4fb0-a2e6-6fdb21cda9c7,7,"Buspirone Hydrochloride Tablets, USP",1827,buspirone,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20231215_8ded0773-3aec-4e89-9836-d22a5a84abf0.json,8ded0773-3aec-4e89-9836-d22a5a84abf0,17,Quinapril Tablets USP,35208,quinapril,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240208_f9feb925-e1b8-41bc-b9c5-89198f07c0e9.json,f9feb925-e1b8-41bc-b9c5-89198f07c0e9,11,"Caffeine Citrate Injection, USP",1886,caffeine,10017955,gastrointestinal haemorrhage,500001001,gi bleed,21,1,,,,
./data/2024_latest_labels/train_xml/20230830_4c486fc7-c8c4-4c6c-b30c-366dabaeaadd.json,4c486fc7-c8c4-4c6c-b30c-366dabaeaadd,14,"These highlights do not include all the information needed to use HORIZANT safely and effectively. See full prescribing information for HORIZANT. 
HORIZANT® (gabapentin enacarbil) Extended-Release Tablets for oral use Initial U.S. Approval: 2011",25480,gabapentin,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240224_7652adc6-1aad-4422-b85c-0c6b11c23b73.json,7652adc6-1aad-4422-b85c-0c6b11c23b73,7,"These highlights do not include all the information needed to use GABAPENTIN CAPSULES safely and effectively. See full prescribing information for GABAPENTIN CAPSULES.
 

GABAPENTIN capsules, for oral use
 

Initial U.S. Approval: 1993",25480,gabapentin,10028596,myocardial infarction,500000801,acute myocardial infarction,29,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240215_7d655d6d-01da-488c-bd4e-c7fbe0ace38c.json,7d655d6d-01da-488c-bd4e-c7fbe0ace38c,5,"These highlights do not include all the information needed to use TESTOSTERONE GEL, 1% safely and effectively.  See full prescribing information for TESTOSTERONE GEL, 1%.

 TESTOSTERONE gel 1%, for topical use, CIII Initial U.S. Approval: 1953",10379,testosterone,10024690,liver function test abnormal,500000301,acute liver injury,15,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240207_56d64558-1fad-420e-8fcd-7103cd073127.json,56d64558-1fad-420e-8fcd-7103cd073127,1,"These highlights do not include all the information needed to use CELECOXIB CAPSULES safely and effectively. See full prescribing information for CELECOXIB CAPSULES.
 

CELECOXIB capsules, for oral use
 

Initial U.S. Approval: 1998",140587,celecoxib,10038435,renal failure,500000401,acute kidney injury,20,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240207_56d64558-1fad-420e-8fcd-7103cd073127.json,56d64558-1fad-420e-8fcd-7103cd073127,1,"These highlights do not include all the information needed to use CELECOXIB CAPSULES safely and effectively. See full prescribing information for CELECOXIB CAPSULES.
 

CELECOXIB capsules, for oral use
 

Initial U.S. Approval: 1998",140587,celecoxib,10069339,acute kidney injury,500000401,acute kidney injury,6,1,,,,
./data/2024_latest_labels/latest_labels_ingredients/20240217_fabf55db-8b50-491f-b76d-a0fe5fb6c9b0.json,fabf55db-8b50-491f-b76d-a0fe5fb6c9b0,17,"These highlights do not include all the information needed to use CIPROFLOXACIN TABLETS safely and effectively. See full prescribing information for CIPROFLOXACIN TABLETS.
 

CIPROFLOXACIN tablet, for oral use
 
Initial U.S. Approval: 1987",2551,ciprofloxacin,10019692,hepatic necrosis,500000301,acute liver injury,15,1,500000301,1797513,1,1
