,ingredient_name,pt_meddra_term,condition_name,affect,gpt_output,response
0,isotretinoin,hepatotoxicity,acute liver injury,0.0,true,true
1,carvedilol,gastrointestinal haemorrhage,gi bleed,0.0,true,true
2,propafenone,hepatic enzyme increased,acute liver injury,0.0,True,true
3,valproate,haematemesis,gi bleed,0.0,true,true
4,omeprazole,hepatic necrosis,acute liver injury,0.0,false,false
5,nisoldipine,gastrointestinal haemorrhage,gi bleed,0.0,true,true
6,quinapril,myocardial infarction,acute myocardial infarction,0.0,false,false
7,quinapril,renal failure,acute kidney injury,0.0,true,true
8,caffeine,gastrointestinal haemorrhage,gi bleed,0.0,False,false
9,nicardipine,myocardial infarction,acute myocardial infarction,0.0,False,false
10,celecoxib,myocardial infarction,acute myocardial infarction,0.0,False,false
11,azithromycin,hepatic failure,acute liver injury,0.0,false,false
12,piroxicam,renal failure,acute kidney injury,1.0,true,true
13,ciprofloxacin,myocardial infarction,acute myocardial infarction,0.0,false,false
14,bupropion,myocardial infarction,acute myocardial infarction,0.0,False,false
15,bupropion,liver injury,acute liver injury,0.0,true,true
16,clopidogrel,acute kidney injury,acute kidney injury,0.0,false,false
17,venlafaxine,haematemesis,gi bleed,0.0,false,false
18,memantine,gastrointestinal haemorrhage,gi bleed,0.0,false,false
19,fluoxetine,haematemesis,gi bleed,1.0,False,false
20,fluoxetine,liver function test abnormal,acute liver injury,0.0,true,true
21,fluoxetine,myocardial infarction,acute myocardial infarction,0.0,False,false
22,cilostazol,haematemesis,gi bleed,0.0,True,true
23,cilostazol,myocardial infarction,acute myocardial infarction,0.0,False,false
24,tramadol,hepatic failure,acute liver injury,0.0,False,false
25,metoclopramide,hepatotoxicity,acute liver injury,0.0,False,false
26,capecitabine,renal impairment,acute kidney injury,0.0,true,true
27,stavudine,hepatic failure,acute liver injury,1.0,true,true
28,lorazepam,gastrointestinal haemorrhage,gi bleed,0.0,False,false
29,etravirine,hepatic failure,acute liver injury,0.0,false,false
30,didanosine,hepatic failure,acute liver injury,1.0,true,true
31,ketorolac,hepatic enzyme increased,acute liver injury,1.0,True,true
32,guanfacine,liver function test abnormal,acute liver injury,0.0,True,true
33,lansoprazole,myocardial infarction,acute myocardial infarction,0.0,false,false
34,eszopiclone,liver injury,acute liver injury,0.0,true,true
35,lamotrigine,gastrointestinal haemorrhage,gi bleed,0.0,false,false
36,lamotrigine,renal failure,acute kidney injury,0.0,false,false
37,eletriptan,haematemesis,gi bleed,0.0,true,true
38,donepezil,myocardial infarction,acute myocardial infarction,0.0,False,false
39,rifabutin,hepatic enzyme increased,acute liver injury,0.0,true,true
40,linezolid,gastrointestinal haemorrhage,gi bleed,0.0,false,false
41,balsalazide,hepatotoxicity,acute liver injury,0.0,True,true
42,methyldopa,liver function test abnormal,acute liver injury,1.0,True,true
43,fluvastatin,acute kidney injury,acute kidney injury,0.0,false,false
44,rosuvastatin,hepatic enzyme increased,acute liver injury,0.0,true,true
45,cyclosporine,hepatocellular injury,acute liver injury,1.0,true,true
46,cyclosporine,hepatotoxicity,acute liver injury,1.0,true,true
47,valacyclovir,hepatic enzyme abnormal,acute liver injury,0.0,True,true
48,oseltamivir,liver function test abnormal,acute liver injury,0.0,True,true
49,erlotinib,acute kidney injury,acute kidney injury,0.0,true,true
50,escitalopram,hepatic failure,acute liver injury,0.0,false,false
51,anagrelide,renal impairment,acute kidney injury,0.0,true,true
52,epoetin alfa,myocardial infarction,acute myocardial infarction,1.0,False,false
53,efavirenz,hepatic failure,acute liver injury,1.0,false,false
54,fluvastatin,hepatic failure,acute liver injury,0.0,false,false
55,venlafaxine,liver function test abnormal,acute liver injury,0.0,true,true
56,ursodeoxycholate,liver function test abnormal,acute liver injury,0.0,True,true
57,ethacrynate,gastrointestinal haemorrhage,gi bleed,0.0,true,true
58,griseofulvin,hepatic enzyme increased,acute liver injury,0.0,true,true
59,fenoprofen,hepatotoxicity,acute liver injury,0.0,true,true
60,olmesartan,myocardial infarction,acute myocardial infarction,0.0,False,false
61,celecoxib,hepatotoxicity,acute liver injury,1.0,false,false
