,ingredient_name,pt_meddra_term,condition_name,affect,gpt_output,response
0,isotretinoin,hepatotoxicity,acute liver injury,0.0,false,false
1,carvedilol,gastrointestinal haemorrhage,gi bleed,0.0,false,false
2,propafenone,hepatic enzyme increased,acute liver injury,0.0,false,false
3,valproate,haematemesis,gi bleed,0.0,False,false
4,omeprazole,hepatic necrosis,acute liver injury,0.0,false,false
5,nisoldipine,gastrointestinal haemorrhage,gi bleed,0.0,False,false
6,quinapril,myocardial infarction,acute myocardial infarction,0.0,false,false
7,quinapril,renal failure,acute kidney injury,0.0,false,false
8,caffeine,gastrointestinal haemorrhage,gi bleed,0.0,False,false
9,nicardipine,myocardial infarction,acute myocardial infarction,0.0,false,false
10,celecoxib,myocardial infarction,acute myocardial infarction,0.0,false,false
11,azithromycin,hepatic failure,acute liver injury,0.0,false,false
12,piroxicam,renal failure,acute kidney injury,1.0,false,false
13,ciprofloxacin,myocardial infarction,acute myocardial infarction,0.0,false,false
14,bupropion,myocardial infarction,acute myocardial infarction,0.0,false,false
15,bupropion,liver injury,acute liver injury,0.0,false,false
16,clopidogrel,acute kidney injury,acute kidney injury,0.0,false,false
17,venlafaxine,haematemesis,gi bleed,0.0,False,false
18,memantine,gastrointestinal haemorrhage,gi bleed,0.0,false,false
19,fluoxetine,haematemesis,gi bleed,1.0,false,false
20,fluoxetine,liver function test abnormal,acute liver injury,0.0,false,false
21,fluoxetine,myocardial infarction,acute myocardial infarction,0.0,false,false
22,cilostazol,haematemesis,gi bleed,0.0,false,false
23,cilostazol,myocardial infarction,acute myocardial infarction,0.0,false,false
24,tramadol,hepatic failure,acute liver injury,0.0,false,false
25,metoclopramide,hepatotoxicity,acute liver injury,0.0,false,false
26,capecitabine,renal impairment,acute kidney injury,0.0,false,false
27,stavudine,hepatic failure,acute liver injury,1.0,false,false
28,lorazepam,gastrointestinal haemorrhage,gi bleed,0.0,False,false
29,etravirine,hepatic failure,acute liver injury,0.0,false,false
30,didanosine,hepatic failure,acute liver injury,1.0,false,false
31,ketorolac,hepatic enzyme increased,acute liver injury,1.0,false,false
32,guanfacine,liver function test abnormal,acute liver injury,0.0,false,false
33,lansoprazole,myocardial infarction,acute myocardial infarction,0.0,false,false
34,eszopiclone,liver injury,acute liver injury,0.0,false,false
35,lamotrigine,gastrointestinal haemorrhage,gi bleed,0.0,False,false
36,lamotrigine,renal failure,acute kidney injury,0.0,false,false
37,eletriptan,haematemesis,gi bleed,0.0,False,false
38,donepezil,myocardial infarction,acute myocardial infarction,0.0,false,false
39,rifabutin,hepatic enzyme increased,acute liver injury,0.0,false,false
40,linezolid,gastrointestinal haemorrhage,gi bleed,0.0,False,false
41,balsalazide,hepatotoxicity,acute liver injury,0.0,false,false
