,drug_name,adr_name,gpt_output
0,lamotrigine,Acute liver injury,True
1,nefazodone,Acute liver injury,True
2,tolcapone,Acute liver injury,True
3,Neostigmine,Acute liver injury,False.
4,Nortriptyline,Acute liver injury,True
5,Interferon beta-1a,Acute liver injury,True
6,Phentermine,Acute liver injury,False.
7,Disulfiram,Acute liver injury,True
8,Droperidol,Acute liver injury,True
9,Carbamazepine,Acute liver injury,True
10,orlistat,Acute liver injury,False.
11,Valproate,Acute liver injury,True
12,Primidone,Acute liver injury,True
13,lithium citrate,Acute liver injury,False.
14,felbamate,Acute liver injury,True
15,Clozapine,Acute liver injury,True
16,Methenamine,Acute liver injury,False.
17,Miconazole,Acute liver injury,False.
18,oxybutynin,Acute liver injury,True
19,Nitrofurantoin,Acute liver injury,True
20,Hyoscyamine,Acute liver injury,False.
21,Dicyclomine,Acute liver injury,False.
22,Acetazolamide,Acute liver injury,True
23,infliximab,Acute liver injury,True
24,Flavoxate,Acute liver injury,False.
25,Scopolamine,Acute liver injury,True
26,Ketotifen,Acute liver injury,False.
27,Lactulose,Acute liver injury,False.
28,Sucralfate,Acute liver injury,False
29,Tetrahydrocannabinol,Acute liver injury,True
30,Tolmetin,Acute liver injury,True
31,almotriptan,Acute liver injury,False.
32,zafirlukast,Acute liver injury,True
33,Naproxen,Acute liver injury,True
34,Naproxen,Acute liver injury,True
35,oxaprozin,Acute liver injury,True
36,celecoxib,Acute liver injury,True
37,benzonatate,Acute liver injury,True.
38,Ketorolac,Acute liver injury,True
39,salmeterol,Acute liver injury,False.
40,Ergotamine,Acute liver injury,True
41,Piroxicam,Acute liver injury,True
42,fluticasone,Acute liver injury,False.
43,fluticasone,Acute liver injury,False.
44,Allopurinol,Acute liver injury,True
45,Ibuprofen,Acute liver injury,True
46,Indomethacin,Acute liver injury,True
47,Etodolac,Acute liver injury,True
48,Sulindac,Acute liver injury,True
49,imatinib,Acute liver injury,True
50,Methotrexate,Acute liver injury,True
51,Methyldopa,Acute liver injury,True
52,Lisinopril,Acute liver injury,False.
53,Adenosine,Acute liver injury,False.
54,moexipril,Acute liver injury,True
55,Dacarbazine,Acute liver injury,True
56,gemcitabine,Acute liver injury,True
57,Nifedipine,Acute liver injury,False.
58,bosentan,Acute liver injury,True
59,Diltiazem,Acute liver injury,True.
60,quinapril,Acute liver injury,True
61,Busulfan,Acute liver injury,True
62,Ramipril,Acute liver injury,False.
63,Phentolamine,Acute liver injury,False.
64,bortezomib,Acute liver injury,False.
65,Captopril,Acute liver injury,True
66,Enalaprilat,Acute liver injury,False.
67,trandolapril,Acute liver injury,True
68,Flutamide,Acute liver injury,True
69,Tamoxifen,Acute liver injury,True
70,Thioguanine,Acute liver injury,True
71,Methimazole,Acute liver injury,True
72,Niacin,Acute liver injury,True
73,pioglitazone,Acute liver injury,True
74,Propylthiouracil,Acute liver injury,True
75,sitagliptin,Acute liver injury,True
76,Tinidazole,Acute liver injury,True.
77,Itraconazole,Acute liver injury,True
78,posaconazole,Acute liver injury,True
79,Lamivudine,Acute liver injury,True
80,Zidovudine,Acute liver injury,True
81,voriconazole,Acute liver injury,True
82,gemifloxacin,Acute liver injury,True
83,Caspofungin,Acute liver injury,True
84,Didanosine,Acute liver injury,True
85,Paromomycin,Acute liver injury,False.
86,Penicillin V,Acute liver injury,False.
87,abacavir,Acute liver injury,False.
88,tipranavir,Acute liver injury,True
89,efavirenz,Acute liver injury,True
90,terbinafine,Acute liver injury,True
91,Levofloxacin,Acute liver injury,True
92,Erythromycin,Acute liver injury,True
93,Fluconazole,Acute liver injury,True
94,darunavir,Acute liver injury,True
95,Rifampin,Acute liver injury,True
96,Griseofulvin,Acute liver injury,True
97,Stavudine,Acute liver injury,True
98,isoniazid,Acute liver injury,True
99,gatifloxacin,Acute liver injury,True
100,Ciprofloxacin,Acute liver injury,True
101,Cyclosporine,Acute liver injury,True
102,Penicillamine,Acute liver injury,True
103,Thiothixene,Acute kidney injury,True
104,Methocarbamol,Acute kidney injury,False.
105,Neostigmine,Acute kidney injury,False.
106,Nortriptyline,Acute kidney injury,True
107,Phentermine,Acute kidney injury,False.
108,Disulfiram,Acute kidney injury,False.
109,orlistat,Acute kidney injury,False.
110,Primidone,Acute kidney injury,True
111,Prochlorperazine,Acute kidney injury,True.
112,Imipramine,Acute kidney injury,True
113,metaxalone,Acute kidney injury,False.
114,ramelteon,Acute kidney injury,False.
115,Chlorazepate,Acute kidney injury,False.
116,Clozapine,Acute kidney injury,False.
117,Temazepam,Acute kidney injury,False.
118,Methenamine,Acute kidney injury,True
119,Urea,Acute kidney injury,False.
120,Miconazole,Acute kidney injury,False.
121,darifenacin,Acute kidney injury,True
122,Hyoscyamine,Acute kidney injury,True
123,Dicyclomine,Acute kidney injury,False.
124,infliximab,Acute kidney injury,True
125,Prilocaine,Acute kidney injury,False.
126,Flavoxate,Acute kidney injury,False.
127,Scopolamine,Acute kidney injury,False.
128,Hydrochlorothiazide,Acute kidney injury,True
129,Ketoconazole,Acute kidney injury,True
130,Ketotifen,Acute kidney injury,False.
131,Lactulose,Acute kidney injury,False.
132,Chlorothiazide,Acute kidney injury,True
133,Tetrahydrocannabinol,Acute kidney injury,False.
134,almotriptan,Acute kidney injury,False.
135,zafirlukast,Acute kidney injury,True
