,cohort_id,condition_name,ingredients_names,pt_meddra_id,pt_meddra_term,ingredients_rxcuis,drug_concept_id,affect,gpt_output
0,500000301,Acute liver injury,dantrolene,10019717,Hepatitis,3105,,,True
1,500000301,Acute liver injury,ketorolac,10019663,Hepatic failure,35827,,,True
2,500000301,Acute liver injury,ketorolac,10019717,Hepatitis,35827,,,True
3,500000301,Acute liver injury,ketorolac,10023126,Jaundice,35827,,,True
4,500000301,Acute liver injury,isotretinoin,10019717,Hepatitis,6064,,,True
5,500000301,Acute liver injury,isotretinoin,10019851,Hepatotoxicity,6064,,,True
6,500000301,Acute liver injury,oxandrolone,10019692,Hepatic necrosis,7779,,,True
7,500000301,Acute liver injury,oxandrolone,10023126,Jaundice,7779,,,True.
8,500000801,Acute myocardial infarction,meloxicam,10002383,Angina pectoris,41493,,,False.
9,500001001,GI bleed,meloxicam,10018830,Haematemesis,41493,1150345.0,1.0,True
10,500000301,Acute liver injury,meloxicam,10019663,Hepatic failure,41493,,,True
11,500000301,Acute liver injury,meloxicam,10019717,Hepatitis,41493,,,True
12,500000301,Acute liver injury,meloxicam,10023126,Jaundice,41493,,,True
13,500000301,Acute liver injury,hydrochlorothiazide,10023126,Jaundice,5487,,,True
14,500000801,Acute myocardial infarction,isosorbide dinitrate,10002388,Angina unstable,6058,,,False.
15,500000801,Acute myocardial infarction,zolpidem,10002383,Angina pectoris,39993,,,False.
16,500000301,Acute liver injury,nalmefene,10019717,Hepatitis,31479,,,True
17,500001001,GI bleed,theophylline,10018830,Haematemesis,10438,,,True
18,500000301,Acute liver injury,flurbiprofen,10008612,Cholecystitis,4502,,,False.
19,500001001,GI bleed,flurbiprofen,10018830,Haematemesis,4502,,,True.
20,500000301,Acute liver injury,flurbiprofen,10023126,Jaundice,4502,,,True
21,500000301,Acute liver injury,secobarbital,10067125,Liver injury,9624,,,True
22,500000301,Acute liver injury,amlodipine,10019717,Hepatitis,17767,,,False.
23,500000301,Acute liver injury,amlodipine,10023126,Jaundice,17767,,,False.
24,500000801,Acute myocardial infarction,atenolol,10000891,Acute myocardial infarction,1202,,,True
25,500000301,Acute liver injury,nortriptyline,10019692,Hepatic necrosis,7531,,,False.
26,500000301,Acute liver injury,nortriptyline,10019717,Hepatitis,7531,,,True.
27,500000301,Acute liver injury,nortriptyline,10023126,Jaundice,7531,,,True
28,500000301,Acute liver injury,minocycline,10019663,Hepatic failure,6980,,,True
29,500000301,Acute liver injury,minocycline,10019717,Hepatitis,6980,,,True
30,500000301,Acute liver injury,oxytocin,10023126,Jaundice,7824,,,False.
31,500000301,Acute liver injury,oxytocin,10023138,Jaundice neonatal,7824,,,False.
32,500000301,Acute liver injury,cephalexin,10019717,Hepatitis,2231,,,True
33,500000301,Acute liver injury,cephalexin,10023126,Jaundice,2231,,,False.
34,500000301,Acute liver injury,carbamazepine,10019663,Hepatic failure,2002,,,True
35,500000301,Acute liver injury,carbamazepine,10019717,Hepatitis,2002,,,True.
36,500000301,Acute liver injury,carbamazepine,10023126,Jaundice,2002,,,True
37,500001001,GI bleed,busulfan,10018830,Haematemesis,1828,,,True
