condition,model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
acute myocardial infarction,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9003436426116839,0.3333333333333333,0.38095238095238093,0.35555555555555557,0.8560846560846561,0.6517571884984026,0.22794117647058823,0.8857142857142857,0.36257309941520466,0.8456320657759506,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.8945686900958466,0.28,0.3181818181818182,0.2978723404255319,0.8675413933145892,0.6194690265486725,0.19047619047619047,0.9523809523809523,0.31746031746031744,0.9409988385598141,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9543568464730291,0.7777777777777778,0.6666666666666666,0.717948717948718,0.9506493506493506,0.587890625,0.20392156862745098,0.8666666666666667,0.33015873015873015,0.7712758112094396,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.870722433460076,0.5294117647058824,0.5,0.5142857142857142,0.856093979441997,0.5788235294117647,0.11386138613861387,1.0,0.20444444444444446,0.935539692840147,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.8969072164948454,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8841269841269842,0.6485623003194888,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.8683453237410073,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.8881789137380192,0.25925925925925924,0.3181818181818182,0.2857142857142857,0.8581693220868479,0.6194690265486725,0.19626168224299065,1.0,0.328125,0.9530778164924506,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.950207468879668,0.7368421052631579,0.6666666666666666,0.7,0.9413419913419913,0.568359375,0.1891891891891892,0.8166666666666667,0.3072100313479624,0.7612463126843657,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.844106463878327,0.43902439024390244,0.5,0.4675324675324675,0.8683308859520312,0.5764705882352941,0.11330049261083744,1.0,0.20353982300884957,0.917369673372269,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.9037800687285223,0.34782608695652173,0.38095238095238093,0.36363636363636365,0.8074074074074074,0.5750798722044729,0.19375,0.8857142857142857,0.31794871794871793,0.8141829393627954,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.8881789137380192,0.25925925925925924,0.3181818181818182,0.2857142857142857,0.8093564511090284,0.6061946902654868,0.18518518518518517,0.9523809523809523,0.31007751937984496,0.8880371660859465,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute liver injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.946058091286307,0.6818181818181818,0.7142857142857143,0.6976744186046512,0.9359307359307358,0.54296875,0.18705035971223022,0.8666666666666667,0.3076923076923077,0.7592367256637168,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute kidney injury,logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.8517110266159695,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.8000489476260401,0.5741176470588235,0.11274509803921569,1.0,0.2026431718061674,0.918775686783474,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
acute myocardial infarction,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9312714776632303,1.0,0.047619047619047616,0.09090909090909091,0.8222222222222222,0.8881789137380192,0.0,0.0,0.0,0.7148509763617676,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
gi bleed,rf,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9265175718849841,0.3333333333333333,0.045454545454545456,0.08,0.8704311152764761,0.9070796460176991,0.0,0.0,0.0,0.4469221835075493,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
