model,mode,embed_model,gpt_model,sections,embeds,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,file
logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.9336353944562901,0.8253178551686015,0.8100588550026753,0.8238362760834671,0.9356607811663992,0.6390483586935719,0.3396425901027516,0.37805908866307003,0.40090364814871643,0.741786683315601,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.9281716417910447,0.8264234383637368,0.7708667736757624,0.8172819689673623,0.9523809523809523,0.6450856091216635,0.3031349974197703,0.29795071119517336,0.3393384997597086,0.8247315033221289,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.8619402985074627,0.8311221669430625,0.7799625468164795,0.7901284109149277,0.8509898341359016,0.31197425185172745,0.399121817822512,0.30474940864702277,0.3961217869395003,0.5559100952483036,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.8746668443496802,0.8208264234383637,0.8543338683788123,0.860553772070626,0.9024879614767255,0.5859995976724676,0.348754660435738,0.4259564551583237,0.3140733159481544,0.6524588061596206,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.8525453091684435,0.8100469872857933,0.8097913322632424,0.8584135901551633,0.936597110754414,0.5934104400838924,0.3609470544421482,0.38863745263631044,0.36571936215857065,0.7173549194144467,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
rf,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.7798507462686566,0.779090657822001,0.735888175494917,0.7382958801498127,0.9189406099518459,0.42005959694333006,0.30980005130761334,0.31632228243975946,0.2556760110544711,0.5835634185522697,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt4,all,all_embeds,0.7338752665245202,0.7839966832504146,0.7489967897271268,0.7554173354735153,0.8749331193151417,0.39551158301158307,0.24566504792493493,0.28878183662713053,0.31053960928720886,0.6174748167668622,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt4,all,support,0.6679770788912581,0.7350055279159756,0.7215088282504013,0.7863830925628679,0.897940074906367,0.30634652509652505,0.19150405154982664,0.21494289272739636,0.37887449025105135,0.6099632133619844,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
knn,inprompt,SFR-Embedding-Mistral,gpt4,all,refute,0.7655916844349681,0.7560116086235489,0.7173622257891921,0.7340155163188871,0.8549357945425362,0.4212583449036651,0.23304326096900752,0.24075612987876197,0.3047777273076529,0.5230896577740877,inprompt_SFR-Embedding-Mistral_gpt4_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.8022130013831259,0.7322916666666666,0.7456845238095239,0.7587797619047619,0.9018518518518518,0.4482491965454112,0.280986275310009,0.27345987066131366,0.40045108603718954,0.6918793521562928,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,all,support,0.8410942062394344,0.6882440476190476,0.624702380952381,0.7607142857142858,0.8612654320987655,0.42132342392725075,0.25154976397897044,0.24415304500646573,0.35096662986876576,0.6613039883681261,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.6987090825265099,0.6407738095238096,0.7637648809523809,0.7148809523809523,0.8189814814814815,0.20425571015050428,0.1628671221878059,0.2792211707100033,0.29672581866185,0.5153785419875784,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.7458122022437376,0.7123511904761904,0.7095238095238094,0.7497767857142856,0.8854166666666667,0.4170592791706859,0.360583540498171,0.20648335818838084,0.30068367815775787,0.6384915855777604,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,all,support,0.7815429537421238,0.7089285714285714,0.6732886904761906,0.7892857142857143,0.8756172839506172,0.382024351077821,0.2624171011843759,0.23158798235292424,0.26140325735883896,0.5411084658858598,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
rf,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.805901337021669,0.6076636904761905,0.6826636904761905,0.65,0.7935956790123456,0.23396449314669332,0.12889575882637808,0.16081493271459663,0.1494117355212442,0.22357919103582044,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,all,all_embeds,0.5432611034270785,0.6219494047619047,0.6171130952380952,0.7024553571428572,0.8296296296296297,0.13276211534918003,0.14431851368028362,0.1456301750167549,0.25822467648590486,0.5379403196984162,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,all,support,0.5714615029967727,0.6244791666666667,0.6665178571428572,0.7043154761904762,0.8403549382716049,0.14381794730053438,0.14066096450904064,0.20639662236817094,0.284772565742715,0.5109622008633786,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
knn,rag,SFR-Embedding-Mistral,gpt35,all,refute,0.5982019363762102,0.5985119047619047,0.5395089285714285,0.6760416666666667,0.8183641975308641,0.18329648056016215,0.15739542085490915,0.11048771255707003,0.22789300251986822,0.37888423223830625,rag_SFR-Embedding-Mistral_gpt35_embeddings.csv
logistic,inprompt,ember-v1,gpt4,all,all_embeds,0.8719349680170576,0.8630458817025981,0.733681112894596,0.8164794007490637,0.8806848582129481,0.4823423260383182,0.37770467765158455,0.22768326248268717,0.4323704865082071,0.559739445700362,inprompt_ember-v1_gpt4_embeddings.csv
logistic,inprompt,ember-v1,gpt4,all,support,0.869136460554371,0.8522664455500276,0.7280631353665061,0.815275548421616,0.8889780631353665,0.48768636020559497,0.36218606078813786,0.20315693400786605,0.4122511635455179,0.6003283997051035,inprompt_ember-v1_gpt4_embeddings.csv
logistic,inprompt,ember-v1,gpt4,all,refute,0.8214285714285714,0.8063156440022112,0.696629213483146,0.7755484216158373,0.841091492776886,0.3693973190597467,0.3491162699981596,0.24389815670569148,0.39619394822375753,0.45203772401209946,inprompt_ember-v1_gpt4_embeddings.csv
