condition,model,mode,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc
acute liver injury,logistic,basic,0.921161825726141,0.55,0.5238095238095238,0.5365853658536586,0.9430735930735931,0.859375,0.36363636363636365,0.26666666666666666,0.3076923076923077,0.7882374631268436
acute kidney injury,logistic,basic,0.8859315589353612,0.6,0.5,0.5454545454545454,0.8880323054331865,0.8352941176470589,0.23595505617977527,0.9130434782608695,0.375,0.9285096257841229
acute myocardial infarction,logistic,basic,0.9003436426116839,0.3,0.2857142857142857,0.2926829268292683,0.8973544973544973,0.8945686900958466,0.5714285714285714,0.22857142857142856,0.32653061224489793,0.825077081192189
gi bleed,logistic,basic,0.8881789137380192,0.21739130434782608,0.22727272727272727,0.2222222222222222,0.8361449547016557,0.9469026548672567,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9591173054587688
acute liver injury,rf,basic,0.91701244813278,1.0,0.047619047619047616,0.09090909090909091,0.9372294372294372,0.8828125,0.5,0.016666666666666666,0.03225806451612903,0.799207227138643
acute kidney injury,rf,basic,0.8631178707224335,0.0,0.0,0.0,0.8686368086147822,0.9435294117647058,0.0,0.0,0.0,0.8653471771576897
acute myocardial infarction,rf,basic,0.9278350515463918,0.0,0.0,0.0,0.8497354497354497,0.8881789137380192,0.0,0.0,0.0,0.7506680369989722
gi bleed,rf,basic,0.9297124600638977,0.0,0.0,0.0,0.802405498281787,0.915929203539823,0.75,0.14285714285714285,0.24,0.962020905923345
acute liver injury,knn,basic,0.9377593360995851,0.7142857142857143,0.47619047619047616,0.5714285714285714,0.9190476190476191,0.87109375,0.35,0.11666666666666667,0.175,0.671773598820059
acute kidney injury,knn,basic,0.8821292775665399,0.6,0.4166666666666667,0.4918032786885246,0.7667033773861968,0.9152941176470588,0.25925925925925924,0.30434782608695654,0.28,0.832089552238806
acute myocardial infarction,knn,basic,0.9312714776632303,0.5333333333333333,0.38095238095238093,0.4444444444444444,0.843915343915344,0.9041533546325878,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.6595580678314491
gi bleed,knn,basic,0.9105431309904153,0.35,0.3181818181818182,0.3333333333333333,0.7799906279287724,0.9336283185840708,0.75,0.42857142857142855,0.5454545454545454,0.8579558652729384
acute liver injury,logistic,inprompt,0.950207468879668,0.7647058823529411,0.6190476190476191,0.6842105263157895,0.951082251082251,0.888671875,0.6,0.15,0.24,0.7728982300884956
acute kidney injury,logistic,inprompt,0.8669201520912547,0.5185185185185185,0.3888888888888889,0.4444444444444444,0.8524229074889867,0.9270588235294117,0.4,0.6956521739130435,0.5079365079365079,0.9395414233181917
acute myocardial infarction,logistic,inprompt,0.8969072164948454,0.30434782608695654,0.3333333333333333,0.3181818181818182,0.855379188712522,0.9009584664536742,0.5588235294117647,0.5428571428571428,0.5507246376811594,0.8495375128468653
gi bleed,logistic,inprompt,0.9041533546325878,0.3,0.2727272727272727,0.2857142857142857,0.8687910028116215,0.9424778761061947,0.7,0.6666666666666666,0.6829268292682927,0.9468060394889662
acute liver injury,rf,inprompt,0.921161825726141,0.75,0.14285714285714285,0.24,0.9134199134199135,0.8828125,0.0,0.0,0.0,0.7435103244837759
acute kidney injury,rf,inprompt,0.8669201520912547,1.0,0.027777777777777776,0.05405405405405406,0.8500978952520802,0.9482352941176471,1.0,0.043478260869565216,0.08333333333333333,0.9057971014492754
acute myocardial infarction,rf,inprompt,0.9278350515463918,0.0,0.0,0.0,0.7892416225749559,0.8913738019169329,1.0,0.02857142857142857,0.05555555555555555,0.8640287769784173
gi bleed,rf,inprompt,0.9297124600638977,0.5,0.045454545454545456,0.08333333333333333,0.806232427366448,0.9336283185840708,1.0,0.2857142857142857,0.4444444444444444,0.9602787456445993
acute liver injury,knn,inprompt,0.941908713692946,0.7692307692307693,0.47619047619047616,0.5882352941176471,0.9102813852813851,0.875,0.4,0.13333333333333333,0.2,0.6987831858407081
acute kidney injury,knn,inprompt,0.8897338403041825,0.6296296296296297,0.4722222222222222,0.5396825396825397,0.8443465491923642,0.9294117647058824,0.4,0.6086956521739131,0.4827586206896552,0.914070949599827
acute myocardial infarction,knn,inprompt,0.9175257731958762,0.42105263157894735,0.38095238095238093,0.4,0.8473544973544974,0.8913738019169329,0.5294117647058824,0.2571428571428571,0.34615384615384615,0.7370503597122302
gi bleed,knn,inprompt,0.9233226837060703,0.45,0.4090909090909091,0.42857142857142855,0.8075601374570447,0.9469026548672567,0.8,0.5714285714285714,0.6666666666666666,0.8710801393728222
