condition,model,mode,accuracy,precision,recall,f1,roc_auc,hold_accuracy,hold_precision,hold_recall,hold_f1,hold_roc_auc,embed_model,gpt_model,sections
acute myocardial infarction,logistic,rag,0.9278350515463918,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.816167290886392,0.6325878594249201,0.20149253731343283,0.7714285714285715,0.31952662721893493,0.7756937307297018,ember-v1,gpt-4,all
gi bleed,logistic,rag,0.8913738019169329,0.47368421052631576,0.2727272727272727,0.34615384615384615,0.7805194805194806,0.6238938053097345,0.18627450980392157,0.9047619047619048,0.3089430894308943,0.8641114982578397,ember-v1,gpt-4,all
acute kidney injury,logistic,rag,0.8745247148288974,0.5555555555555556,0.2857142857142857,0.37735849056603776,0.8474937343358396,0.5929411764705882,0.1134020618556701,0.9565217391304348,0.20276497695852536,0.8702682240969067,ember-v1,gpt-4,all
acute liver injury,logistic,rag,0.9087136929460581,0.4117647058823529,0.3684210526315789,0.3888888888888889,0.7930298719772404,0.5625,0.17716535433070865,0.75,0.28662420382165604,0.699188790560472,ember-v1,gpt-4,all
acute myocardial infarction,rf,rag,0.9175257731958762,0.0,0.0,0.0,0.833645443196005,0.11182108626198083,0.11182108626198083,1.0,0.20114942528735633,0.6327338129496403,ember-v1,gpt-4,all
gi bleed,rf,rag,0.8945686900958466,0.0,0.0,0.0,0.7553030303030303,0.09734513274336283,0.09333333333333334,1.0,0.17073170731707318,0.47328687572590006,ember-v1,gpt-4,all
acute kidney injury,rf,rag,0.8669201520912547,0.0,0.0,0.0,0.8320802005012532,0.05411764705882353,0.05411764705882353,1.0,0.10267857142857142,0.6535258490157907,ember-v1,gpt-4,all
acute liver injury,rf,rag,0.91701244813278,0.0,0.0,0.0,0.8431721194879089,0.125,0.11811023622047244,1.0,0.2112676056338028,0.5334992625368732,ember-v1,gpt-4,all
acute myocardial infarction,knn,rag,0.9072164948453608,0.36363636363636365,0.16666666666666666,0.22857142857142856,0.8054775280898876,0.8881789137380192,0.5,0.3142857142857143,0.38596491228070173,0.7299588900308325,ember-v1,gpt-4,all
gi bleed,knn,rag,0.8817891373801917,0.3333333333333333,0.12121212121212122,0.17777777777777778,0.7396103896103896,0.9203539823008849,0.5882352941176471,0.47619047619047616,0.5263157894736842,0.829849012775842,ember-v1,gpt-4,all
acute kidney injury,knn,rag,0.8783269961977186,0.5882352941176471,0.2857142857142857,0.38461538461538464,0.8191102756892232,0.9505882352941176,0.5454545454545454,0.5217391304347826,0.5333333333333333,0.9301860263897902,ember-v1,gpt-4,all
acute liver injury,knn,rag,0.9377593360995851,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.8242057847321005,0.884765625,0.5294117647058824,0.15,0.23376623376623376,0.6465892330383481,ember-v1,gpt-4,all
acute kidney injury,logistic,rag,0.9090909090909091,0.0,0.0,0.0,0.6,0.5388235294117647,0.09767441860465116,0.9130434782608695,0.17647058823529413,0.8113778931429807,SFR-Embedding-Mistral,gpt-4,WP
acute liver injury,logistic,rag,0.9439252336448598,0.5,0.16666666666666666,0.25,0.9570957095709571,0.5402298850574713,0.13636363636363635,0.75,0.23076923076923078,0.7278481012658227,SFR-Embedding-Mistral,gpt-4,WP
acute kidney injury,rf,rag,0.9090909090909091,0.0,0.0,0.0,0.5,0.9458823529411765,0.0,0.0,0.0,0.6402768764871295,SFR-Embedding-Mistral,gpt-4,WP
acute liver injury,rf,rag,0.9439252336448598,0.0,0.0,0.0,0.9273927392739274,0.9080459770114943,0.0,0.0,0.0,0.7943037974683544,SFR-Embedding-Mistral,gpt-4,WP
acute kidney injury,knn,rag,0.9090909090909091,0.0,0.0,0.0,0.6125,0.9458823529411765,0.0,0.0,0.0,0.7290720311486047,SFR-Embedding-Mistral,gpt-4,WP
acute liver injury,knn,rag,0.9439252336448598,0.5,0.3333333333333333,0.4,0.9537953795379538,0.9080459770114943,0.0,0.0,0.0,0.6170886075949368,SFR-Embedding-Mistral,gpt-4,WP
