,condition_name,drug_name,affect,summary
0,Acute liver injury,lamotrigine,1,"The provided documents do not contain direct evidence supporting the causal association between lamotrigine and acute liver injury. However, they do suggest that dosage adjustments are recommended for patients with moderate to severe liver impairment, indicating a recognition of the drug's hepatic metabolism and potential impact on liver function. Clinical pharmacology studies recommend reducing the initial, escalation, and maintenance doses by approximately 25% in patients with moderate and severe liver impairment without ascites and by 50% in those with severe liver impairment with ascites."
1,Acute liver injury,nefazodone,1,"Evidence suggests a causal association between nefazodone and acute liver injury, with reported cases of life-threatening hepatic failure in patients, occurring at a rate approximately 3 to 4 times higher than the estimated background rate of liver failure. The risk of liver failure with nefazodone treatment is likely underestimated due to underreporting, and liver injury typically manifests within 2 weeks to 6 months of therapy initiation. Despite a large cohort study finding no cases of liver failure leading to death or transplant among nefazodone users, the data does not provide a precise risk estimate, and patients with signs of liver dysfunction are advised to discontinue nefazodone immediately."
2,Acute liver injury,tolcapone,1,"The evidence supporting the causal association between tolcapone and acute liver injury includes postmarketing reports of severe hepatocellular injury, including fulminant liver failure resulting in death, with an incidence potentially 10- to 100-fold higher than the background incidence in the general population. These severe adverse events were primarily reported within the first six months of treatment initiation. Consequently, monitoring liver enzymes (SGPT/ALT and SGOT/AST) is strongly recommended before and periodically during treatment, with immediate discontinuation of tolcapone if levels exceed twice the upper limit of normal or if clinical signs of liver dysfunction emerge."
3,Acute liver injury,Neostigmine,0,"Current evidence does not directly link neostigmine with acute liver injury; however, the pharmacokinetics of neostigmine in patients with hepatic impairment have not been studied, and it is metabolized by liver enzymes, suggesting that its concentration may increase in patients with impaired hepatic function. Therefore, while no dosing adjustments are recommended for hepatic insufficiency, careful monitoring is advised due to the potential for prolonged effects, especially when used with hepatically cleared neuromuscular blocking agents."
4,Acute liver injury,Nortriptyline,1,I don't know.
5,Acute liver injury,Interferon beta-1a,1,"Evidence from postmarketing reports indicates that severe liver injury, including hepatic failure requiring liver transplantation, has been rarely reported in patients taking Interferon beta-1a (REBIF). Symptoms of liver dysfunction typically emerged one to six months after treatment initiation, and immediate discontinuation of REBIF is recommended if jaundice or other liver dysfunction symptoms appear. Asymptomatic elevation of hepatic transaminases is common, and caution is advised when initiating treatment in patients with pre-existing liver conditions or those on potentially hepatotoxic medications."
6,Acute liver injury,Phentermine,0,I don't know.
7,Acute liver injury,Disulfiram,1,I don't know.
8,Acute liver injury,Droperidol,0,"The provided documents do not contain direct evidence supporting a causal association between Droperidol and acute liver injury. The adverse reactions detailed primarily concern QT prolongation, serious arrhythmias like torsade de pointes, and other cardiovascular and neurological effects. There is no mention of hepatotoxicity or liver injury in the context of Droperidol use."
9,Acute liver injury,Carbamazepine,1,"Carbamazepine has been associated with hepatic side effects, and its use may lead to newly occurring or worsening liver dysfunction or hepatic damage, particularly in the context of active liver disease. Clinical judgment dictates discontinuation of the drug if liver-related adverse reactions are evident. Monitoring liver function tests is recommended to detect potential liver injury in patients on carbamazepine therapy."
